name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
istanbul,2024-02-17,8.8,6.3,7.3,6.8,3,4.8,5.2,86.8,0.597,100,8.33,rain,0,0,33.5,18.3,3.1,1025.2,93.4,10.1,17.8,1.4,1,,2024-02-17T07:56:49,2024-02-17T18:40:00,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-18,8.3,6.1,7.2,8.3,4.3,6,3.8,79.2,0.179,100,4.17,rain,0,0,23,10.5,34.7,1028.3,86.6,10.5,33,2.8,2,,2024-02-18T07:55:28,2024-02-18T18:41:13,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-19,9.4,6.3,7.6,8,4.1,6,3.8,77,0,0,0,,0,0,30.2,15.4,53.5,1026.6,91.8,10.5,42.1,3.7,2,,2024-02-19T07:54:05,2024-02-19T18:42:26,0.32,Overcast,Cloudy skies throughout the day.,cloudy,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-20,11.4,4.2,7.3,11.4,2.2,5.5,2.1,70.9,0,0,0,,0,0,30.6,16.2,45.3,1024.1,40,11.2,153.1,13.3,7,,2024-02-20T07:52:41,2024-02-20T18:43:38,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-21,10.6,3.3,6.9,10.6,1.9,6.1,2.5,74.7,0,0,0,,0,0,18.9,12.1,309.1,1024.3,42.4,10.7,90.8,7.9,5,,2024-02-21T07:51:16,2024-02-21T18:44:50,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-22,12.4,4,8.1,12.4,4,8.1,3.2,72,0,0,0,,0,0,20.5,12.3,258.7,1022.4,8.9,11,155.3,13.5,6,,2024-02-22T07:49:51,2024-02-22T18:46:02,0.43,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-23,16.3,7,11.6,16.3,6.9,11.5,5.3,66.1,0,0,0,,0,0,30.2,14.7,234,1018.9,40.2,11,135.6,11.6,7,,2024-02-23T07:48:24,2024-02-23T18:47:14,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-24,19,11.1,14.4,19,11.1,14.4,8.3,67.5,0,0,0,,0,0,29.5,13.7,233.4,1019.9,31.8,11.3,142.9,12.3,7,,2024-02-24T07:46:56,2024-02-24T18:48:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-25,19.9,9.3,14.3,19.9,9.3,14.3,6.5,62.5,0,0,0,,0,0,21.6,9.3,62.9,1019,45,11.3,126.9,11,5,,2024-02-25T07:45:27,2024-02-25T18:49:36,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-26,18.1,8.2,12.4,18.1,5.2,12,6.7,69.2,0,0,0,,0,0,22.7,19.8,21.5,1012.4,61.3,10.3,107,9.3,5,,2024-02-26T07:43:58,2024-02-26T18:50:47,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-27,12.5,8,9.5,12.5,5.2,8.2,6.2,80.4,0,0,0,,0,0,24.6,17.8,29.7,1018.4,51.9,11,120.1,10.4,6,,2024-02-27T07:42:27,2024-02-27T18:51:57,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-28,13.4,6,9.3,13.4,4.3,8.6,6.5,82.9,0,0,0,,0,0,26.4,14.1,8.6,1022.5,43,9.3,129.8,11.3,6,,2024-02-28T07:40:56,2024-02-28T18:53:07,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-02-29,16,6.2,9.6,16,4.2,8.5,6.8,82.8,0,0,0,,0,0,30.8,20.3,19.5,1022.2,41.1,6.7,139.2,12,6,,2024-02-29T07:39:24,2024-02-29T18:54:16,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-03-01,13,7.5,9.7,13,5.6,8.5,7.2,84.3,0,0,0,,0,0,25.9,17.4,21.3,1016.1,65,8.3,50.4,4.3,2,,2024-03-01T07:37:51,2024-03-01T18:55:26,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-02,14.1,8.1,10.2,14.1,5.7,9.5,7.9,86,0,0,0,,0,0,20.4,18.4,3.1,1012.1,74.5,6.9,84.2,7.3,4,,2024-03-02T07:36:18,2024-03-02T18:56:35,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-03-03,13.1,9,10.3,13.1,6.9,9.9,7.6,83.3,0,0,0,,0,0,21.2,14.8,19.7,1014.2,86.6,10,89.3,7.7,6,,2024-03-03T07:34:44,2024-03-03T18:57:44,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-04,14.1,7.9,10.7,14.1,7.9,10.7,7.4,80.3,0,0,0,,0,0,24.6,11.5,3.5,1015.2,51.3,9.4,118.9,10.2,6,,2024-03-04T07:33:09,2024-03-04T18:58:52,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-05,15.6,8.8,10.7,15.6,7.4,10.4,7.6,81.6,0.024,100,4.17,rain,0,0,25.9,12.9,12.7,1009.2,49.5,7.6,71.2,6,4,,2024-03-05T07:31:34,2024-03-05T19:00:00,0.83,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-06,10.8,6.9,9.2,10.8,5.7,8.1,6,81.1,2.276,100,8.33,rain,0,0,31.3,16.9,2.9,1015,77.4,10.8,115.8,10,4,,2024-03-06T07:29:58,2024-03-06T19:01:08,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-07,12.5,5.3,8.5,12.5,5.2,8,3.9,73.8,0.597,100,4.17,rain,0,0,28.4,20,42.4,1018.3,49.1,10.7,144.9,12.5,5,,2024-03-07T07:28:22,2024-03-07T19:02:16,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-08,8,6.3,7.3,7,3.7,5,4.8,84.7,3.668,100,12.5,rain,0,0,33.5,20,40.2,1016.9,85.5,9,61.1,5.2,2,,2024-03-08T07:26:45,2024-03-08T19:03:23,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
istanbul,2024-03-09,9.4,4.6,7.4,8.9,3.4,6.4,5.4,87.6,5.112,100,12.5,rain,0,0,27.4,14,31.7,1020.8,80.5,10.2,125.8,11,5,,2024-03-09T07:25:07,2024-03-09T19:04:31,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-10,11.9,3.5,7.6,11.9,3,7.4,4.3,81,0.044,100,4.17,rain,0,0,16.2,10.2,307.6,1021,28,8.6,177.1,15.2,6,,2024-03-10T07:23:30,2024-03-10T19:05:38,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-11,18.5,6.9,12.2,18.5,6.9,12.2,4.6,62.9,0,0,0,,0,0,17.3,8.5,106.2,1019.8,29.2,10,186.2,16.1,7,,2024-03-11T07:21:52,2024-03-11T19:06:44,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-12,17.4,11.3,13.7,17.4,11.3,13.7,7.1,65.5,1.719,100,8.33,rain,0,0,39.6,16.5,75,1014,79.4,10.2,136.4,11.9,5,,2024-03-12T07:20:13,2024-03-12T19:07:51,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999"
istanbul,2024-03-13,14.8,9.4,11.5,14.8,9.4,11.5,9,84.7,12.187,100,12.5,rain,0,0,38.9,23.1,212.8,1011.2,81.6,10.8,182.3,15.7,6,,2024-03-13T07:18:34,2024-03-13T19:08:57,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17060099999,LTFJ"
