Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Han,2024-01-15 22:08:20,00:01:43,Autoplayed: user action: None; ,1. Sezon (Fragman): Berlin,TRAILER,Sony PS4,00:01:43,00:01:43,TR (Turkey)
Han,2024-01-15 20:18:03,01:49:34,,Recep İvedik 2,,Sony PS4,01:49:34,01:49:34,TR (Turkey)
Han,2024-01-15 20:16:57,00:00:11,Autoplayed: user action: None; ,Recep Ivedik 6_hook_primary_16x9,HOOK,Sony PS4,00:00:11,00:00:11,TR (Turkey)
Han,2024-01-15 20:16:14,00:00:39,Autoplayed: user action: None; ,Recep İvedik 7_hook_02_16x9,HOOK,Sony PS4,00:00:39,00:00:39,TR (Turkey)
Han,2024-01-15 20:15:56,00:00:05,Autoplayed: user action: None; ,Friends: Season 1 - CLM 1,HOOK,Sony PS4,00:00:05,00:00:05,TR (Turkey)
Han,2024-01-14 23:49:16,00:07:14,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Massapequa (Bölüm 18),,Sony PS4,00:07:44,00:07:44,TR (Turkey)
Han,2024-01-14 23:27:46,00:21:25,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Çay Yaprakları (Bölüm 17),,Sony PS4,00:21:53,00:21:53,TR (Turkey)
Han,2024-01-14 23:07:04,00:20:34,,Friends: 8. Sezon: Joey Rachel'a Söylüyor (Bölüm 16),,Sony PS4,00:21:04,00:21:04,TR (Turkey)
Han,2024-01-14 23:06:34,00:00:04,Autoplayed: user action: None; ,Friends: 8. Sezon: Joey Rachel'a Söylüyor (Bölüm 16),,Sony PS4,00:00:04,Not latest view,TR (Turkey)
Han,2024-01-14 23:01:18,00:04:38,,Friends: 8. Sezon: Doğum Videosu (Bölüm 15),,Sony PS4,00:21:53,00:21:53,TR (Turkey)
Han,2024-01-14 23:00:47,00:00:08,Autoplayed: user action: None; ,Friends: Season 1 - CLM 12,HOOK,Sony PS4,00:00:08,00:00:08,TR (Turkey)
Han,2024-01-10 16:30:14,00:09:42,,Friends: 8. Sezon: Ürkütücü Kartpostal (Bölüm 11),,Sony PS4,00:10:19,00:10:19,TR (Turkey)
Han,2024-01-10 16:30:00,00:00:10,Autoplayed: user action: None; ,Friends: Season 1 - CLM 5,HOOK,Sony PS4,00:00:10,00:00:10,TR (Turkey)
Han,2024-01-09 13:49:29,00:00:21,Autoplayed: user action: None; ,Friends: Season 1 - CLM 2,HOOK,Sony PS4,00:00:21,00:00:21,TR (Turkey)
Han,2024-01-09 13:49:08,00:00:08,,Friends: 8. Sezon: Ürkütücü Kartpostal (Bölüm 11),,Sony PS4,00:00:08,Not latest view,TR (Turkey)
Han,2024-01-09 13:27:43,00:21:23,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Monica'nın Çizmeleri (Bölüm 10),,Sony PS4,00:21:53,00:21:53,TR (Turkey)
Han,2024-01-09 13:06:17,00:20:55,Autoplayed: user action: User_Interaction; ,Friends: 8. Sezon: Dedikodu (Bölüm 9),,Sony PS4,00:21:52,00:21:52,TR (Turkey)
Han,2024-01-09 13:06:06,00:00:03,Autoplayed: user action: None; ,Ricky Gervais: Armageddon,,Sony PS4,00:09:13,00:09:13,TR (Turkey)
